No_gen, Best, MQ, No_clus, max_clus, min_clus
74,1.8297139483921994,1.897167514455893,4,9,4
75,1.8297139483921994,1.897167514455893,4,9,4
76,1.8297139483921994,1.897167514455893,4,9,4
77,1.8297139483921994,1.897167514455893,4,9,4
78,1.8297139483921994,1.897167514455893,4,9,4
79,1.8297139483921994,1.897167514455893,4,9,4
80,1.8297139483921994,1.897167514455893,4,9,4
81,1.8297139483921994,1.897167514455893,4,9,4
82,1.8297139483921994,1.897167514455893,4,9,4
83,1.8297139483921994,1.897167514455893,4,9,4
84,1.8297139483921994,1.897167514455893,4,9,4
85,1.8410827113185528,1.9132662073838542,4,11,2
86,1.8410827113185528,1.9132662073838542,4,11,2
87,1.8410827113185528,1.9132662073838542,4,11,2
88,1.8410827113185528,1.9132662073838542,4,11,2
89,1.8410827113185528,1.9132662073838542,4,11,2
90,1.8410827113185528,1.9132662073838542,4,11,2
91,1.8410827113185528,1.9132662073838542,4,11,2
92,1.8410827113185528,1.9132662073838542,4,11,2
93,1.8410827113185528,1.9132662073838542,4,11,2
94,1.8410827113185528,1.9132662073838542,4,11,2
95,1.8410827113185528,1.9132662073838542,4,11,2
96,1.8410827113185528,1.9132662073838542,4,11,2
97,1.8410827113185528,1.9132662073838542,4,11,2
98,1.8410827113185528,1.9132662073838542,4,11,2
99,1.8410827113185528,1.9132662073838542,4,11,2
100,1.8410827113185528,1.9132662073838542,4,11,2
101,1.8410827113185528,1.9132662073838542,4,11,2
102,1.8410827113185528,1.9132662073838542,4,11,2
103,1.8410827113185528,1.9132662073838542,4,11,2
104,1.8410827113185528,1.9132662073838542,4,11,2
105,1.8410827113185528,1.9132662073838542,4,11,2
106,1.8410827113185528,1.9132662073838542,4,11,2
107,1.8410827113185528,1.9132662073838542,4,11,2
108,1.8410827113185528,1.9132662073838542,4,11,2
109,1.8410827113185528,1.9132662073838542,4,11,2
110,1.8410827113185528,1.9132662073838542,4,11,2
111,1.8410827113185528,1.9132662073838542,4,11,2
112,1.8410827113185528,1.9132662073838542,4,11,2
113,1.8410827113185528,1.9132662073838542,4,11,2
114,1.8410827113185528,1.9132662073838542,4,11,2
115,1.8410827113185528,1.9132662073838542,4,11,2
116,1.8410827113185528,1.9132662073838542,4,11,2
117,1.8410827113185528,1.9132662073838542,4,11,2
118,1.8410827113185528,1.9132662073838542,4,11,2
119,1.8410827113185528,1.9132662073838542,4,11,2
120,1.8410827113185528,1.9132662073838542,4,11,2
121,1.8410827113185528,1.9132662073838542,4,11,2
122,1.8410827113185528,1.9132662073838542,4,11,2
123,1.8410827113185528,1.9132662073838542,4,11,2
124,1.8410827113185528,1.9132662073838542,4,11,2
125,1.8410827113185528,1.9132662073838542,4,11,2
126,1.8410827113185528,1.9132662073838542,4,11,2
127,1.8410827113185528,1.9132662073838542,4,11,2
128,1.8410827113185528,1.9132662073838542,4,11,2
129,1.8410827113185528,1.9132662073838542,4,11,2
130,1.8410827113185528,1.9132662073838542,4,11,2
131,1.8410827113185528,1.9132662073838542,4,11,2
132,1.8410827113185528,1.9132662073838542,4,11,2
133,1.8410827113185528,1.9132662073838542,4,11,2
