No_gen, Best, MQ, No_clus, max_clus, min_clus
74,1.219506744606932,1.2822510822510824,3,7,2
75,1.219506744606932,1.2822510822510824,3,7,2
76,1.219506744606932,1.2822510822510824,3,7,2
77,1.219506744606932,1.2822510822510824,3,7,2
78,1.219506744606932,1.2822510822510824,3,7,2
79,1.219506744606932,1.2822510822510824,3,7,2
80,1.219506744606932,1.2822510822510824,3,7,2
81,1.219506744606932,1.2822510822510824,3,7,2
82,1.219506744606932,1.2822510822510824,3,7,2
83,1.219506744606932,1.2822510822510824,3,7,2
84,1.219506744606932,1.2822510822510824,3,7,2
85,1.219506744606932,1.2822510822510824,3,7,2
86,1.219506744606932,1.2822510822510824,3,7,2
87,1.219506744606932,1.2822510822510824,3,7,2
88,1.219506744606932,1.2822510822510824,3,7,2
89,1.219506744606932,1.2822510822510824,3,7,2
90,1.219506744606932,1.2822510822510824,3,7,2
91,1.219506744606932,1.2822510822510824,3,7,2
92,1.219506744606932,1.2822510822510824,3,7,2
93,1.219506744606932,1.2822510822510824,3,7,2
94,1.219506744606932,1.2822510822510824,3,7,2
95,1.219506744606932,1.2822510822510824,3,7,2
96,1.219506744606932,1.2822510822510824,3,7,2
97,1.219506744606932,1.2822510822510824,3,7,2
98,1.219506744606932,1.2822510822510824,3,7,2
99,1.219506744606932,1.2822510822510824,3,7,2
100,1.219506744606932,1.2822510822510824,3,7,2
101,1.219506744606932,1.2822510822510824,3,7,2
102,1.219506744606932,1.2822510822510824,3,7,2
103,1.219506744606932,1.2822510822510824,3,7,2
104,1.219506744606932,1.2822510822510824,3,7,2
105,1.219506744606932,1.2822510822510824,3,7,2
106,1.219506744606932,1.2822510822510824,3,7,2
107,1.219506744606932,1.2822510822510824,3,7,2
108,1.219506744606932,1.2822510822510824,3,7,2
109,1.219506744606932,1.2822510822510824,3,7,2
110,1.219506744606932,1.2822510822510824,3,7,2
111,1.219506744606932,1.2822510822510824,3,7,2
112,1.219506744606932,1.2822510822510824,3,7,2
113,1.219506744606932,1.2822510822510824,3,7,2
114,1.219506744606932,1.2822510822510824,3,7,2
115,1.219506744606932,1.2822510822510824,3,7,2
116,1.219506744606932,1.2822510822510824,3,7,2
117,1.219506744606932,1.2822510822510824,3,7,2
118,1.219506744606932,1.2822510822510824,3,7,2
119,1.219506744606932,1.2822510822510824,3,7,2
120,1.219506744606932,1.2822510822510824,3,7,2
121,1.219506744606932,1.2822510822510824,3,7,2
122,1.219506744606932,1.2822510822510824,3,7,2
123,1.219506744606932,1.2822510822510824,3,7,2
124,1.219506744606932,1.2822510822510824,3,7,2
125,1.219506744606932,1.2822510822510824,3,7,2
126,1.219506744606932,1.2822510822510824,3,7,2
127,1.219506744606932,1.2822510822510824,3,7,2
128,1.219506744606932,1.2822510822510824,3,7,2
129,1.219506744606932,1.2822510822510824,3,7,2
130,1.219506744606932,1.2822510822510824,3,7,2
131,1.219506744606932,1.2822510822510824,3,7,2
132,1.219506744606932,1.2822510822510824,3,7,2
133,1.219506744606932,1.2822510822510824,3,7,2
134,1.219506744606932,1.2822510822510824,3,7,2
135,1.219506744606932,1.2822510822510824,3,7,2
136,1.219506744606932,1.2822510822510824,3,7,2
137,1.219506744606932,1.2822510822510824,3,7,2
138,1.219506744606932,1.2822510822510824,3,7,2
139,1.219506744606932,1.2822510822510824,3,7,2
140,1.219506744606932,1.2822510822510824,3,7,2
141,1.219506744606932,1.2822510822510824,3,7,2
142,1.219506744606932,1.2822510822510824,3,7,2
143,1.219506744606932,1.2822510822510824,3,7,2
144,1.219506744606932,1.2822510822510824,3,7,2
