No_gen, Best, MQ, No_clus, max_clus, min_clus
203,1.846528272912312,1.9015318628648892,9,5,2
204,1.846528272912312,1.9015318628648892,9,5,2
205,1.846528272912312,1.9015318628648892,9,5,2
206,1.846528272912312,1.9015318628648892,9,5,2
207,1.846528272912312,1.9015318628648892,9,5,2
208,1.846528272912312,1.9015318628648892,9,5,2
209,1.846528272912312,1.9015318628648892,9,5,2
210,1.846528272912312,1.9015318628648892,9,5,2
211,1.846528272912312,1.9015318628648892,9,5,2
212,1.846528272912312,1.9015318628648892,9,5,2
213,1.846528272912312,1.9015318628648892,9,5,2
214,1.846528272912312,1.9015318628648892,9,5,2
215,1.846528272912312,1.9015318628648892,9,5,2
216,1.846528272912312,1.9015318628648892,9,5,2
217,1.846528272912312,1.9015318628648892,9,5,2
218,1.846528272912312,1.9015318628648892,9,5,2
219,1.846528272912312,1.9015318628648892,9,5,2
220,1.846528272912312,1.9015318628648892,9,5,2
221,1.846528272912312,1.9015318628648892,9,5,2
222,1.846528272912312,1.9015318628648892,9,5,2
223,1.846528272912312,1.9015318628648892,9,5,2
224,1.846528272912312,1.9015318628648892,9,5,2
225,1.846528272912312,1.9015318628648892,9,5,2
226,1.846528272912312,1.9015318628648892,9,5,2
227,1.846528272912312,1.9015318628648892,9,5,2
228,1.846528272912312,1.9015318628648892,9,5,2
229,1.846528272912312,1.9015318628648892,9,5,2
230,1.846528272912312,1.9015318628648892,9,5,2
231,1.846528272912312,1.9015318628648892,9,5,2
232,1.846528272912312,1.9015318628648892,9,5,2
233,1.846528272912312,1.9015318628648892,9,5,2
234,1.846528272912312,1.9015318628648892,9,5,2
235,1.846528272912312,1.9015318628648892,9,5,2
236,1.846528272912312,1.9015318628648892,9,5,2
237,1.846528272912312,1.9015318628648892,9,5,2
238,1.846528272912312,1.9015318628648892,9,5,2
239,1.846528272912312,1.9015318628648892,9,5,2
240,1.846528272912312,1.9015318628648892,9,5,2
241,1.846528272912312,1.9015318628648892,9,5,2
242,1.846528272912312,1.9015318628648892,9,5,2
243,1.846528272912312,1.9015318628648892,9,5,2
244,1.846528272912312,1.9015318628648892,9,5,2
245,1.846528272912312,1.9015318628648892,9,5,2
246,1.846528272912312,1.9015318628648892,9,5,2
247,1.846528272912312,1.9015318628648892,9,5,2
248,1.846528272912312,1.9015318628648892,9,5,2
249,1.846528272912312,1.9015318628648892,9,5,2
250,1.846528272912312,1.9015318628648892,9,5,2
251,1.8472684849690584,1.9084079763929576,8,11,1
252,1.8472684849690584,1.9084079763929576,8,11,1
253,1.8472684849690584,1.9084079763929576,8,11,1
254,1.8472684849690584,1.9084079763929576,8,11,1
255,1.8605429254326025,1.919981101254673,9,9,1
256,1.8605429254326025,1.919981101254673,9,9,1
257,1.8605429254326025,1.919981101254673,9,9,1
258,1.8605429254326025,1.919981101254673,9,9,1
259,1.8605429254326025,1.919981101254673,9,9,1
260,1.8605429254326025,1.919981101254673,9,9,1
261,1.8605429254326025,1.919981101254673,9,9,1
262,1.8605429254326025,1.919981101254673,9,9,1
263,1.8605429254326025,1.919981101254673,9,9,1
264,1.8605429254326025,1.919981101254673,9,9,1
265,1.8605429254326025,1.919981101254673,9,9,1
266,1.8605429254326025,1.919981101254673,9,9,1
267,1.8605429254326025,1.919981101254673,9,9,1
268,1.8605429254326025,1.919981101254673,9,9,1
269,1.8605429254326025,1.919981101254673,9,9,1
270,1.8605429254326025,1.919981101254673,9,9,1
271,1.8605429254326025,1.919981101254673,9,9,1
272,1.8605429254326025,1.919981101254673,9,9,1
273,1.8605429254326025,1.919981101254673,9,9,1
274,1.8605429254326025,1.919981101254673,9,9,1
275,1.8605429254326025,1.919981101254673,9,9,1
276,1.8605429254326025,1.919981101254673,9,9,1
277,1.8605429254326025,1.919981101254673,9,9,1
278,1.8605429254326025,1.919981101254673,9,9,1
279,1.8605429254326025,1.919981101254673,9,9,1
280,1.8605429254326025,1.919981101254673,9,9,1
281,1.8605429254326025,1.919981101254673,9,9,1
282,1.8605429254326025,1.919981101254673,9,9,1
283,1.8605429254326025,1.919981101254673,9,9,1
284,1.8605429254326025,1.919981101254673,9,9,1
285,1.8605429254326025,1.919981101254673,9,9,1
