No_gen, Best, MQ, No_clus, max_clus, min_clus
90,1.5757405215746974,1.6074813732961464,6,13,7
91,1.5757405215746974,1.6074813732961464,6,13,7
92,1.5757405215746974,1.6074813732961464,6,13,7
93,1.5757405215746974,1.6074813732961464,6,13,7
94,1.5757405215746974,1.6074813732961464,6,13,7
95,1.5757405215746974,1.6074813732961464,6,13,7
96,1.5874217636247634,1.6195072826376247,6,13,7
97,1.5874217636247634,1.6195072826376247,6,13,7
98,1.5874217636247634,1.6195072826376247,6,13,7
99,1.5874217636247634,1.6195072826376247,6,13,7
100,1.5874217636247634,1.6195072826376247,6,13,7
101,1.5874217636247634,1.6195072826376247,6,13,7
102,1.5874217636247634,1.6195072826376247,6,13,7
103,1.5874217636247634,1.6195072826376247,6,13,7
104,1.5874217636247634,1.6195072826376247,6,13,7
105,1.5874217636247634,1.6195072826376247,6,13,7
106,1.5874217636247634,1.6195072826376247,6,13,7
107,1.5874217636247634,1.6195072826376247,6,13,7
108,1.5874217636247634,1.6195072826376247,6,13,7
109,1.5874217636247634,1.6195072826376247,6,13,7
110,1.5874217636247634,1.6195072826376247,6,13,7
111,1.5874217636247634,1.6195072826376247,6,13,7
112,1.5874217636247634,1.6195072826376247,6,13,7
113,1.5874217636247634,1.6195072826376247,6,13,7
114,1.5874217636247634,1.6195072826376247,6,13,7
115,1.5874217636247634,1.6195072826376247,6,13,7
116,1.5874217636247634,1.6195072826376247,6,13,7
117,1.588981900768366,1.621113453263045,6,13,7
118,1.588981900768366,1.621113453263045,6,13,7
119,1.588981900768366,1.621113453263045,6,13,7
120,1.60469751718197,1.6372927754126427,6,13,7
121,1.60469751718197,1.6372927754126427,6,13,7
122,1.60469751718197,1.6372927754126427,6,13,7
123,1.60469751718197,1.6372927754126427,6,13,7
124,1.60469751718197,1.6372927754126427,6,13,7
125,1.60469751718197,1.6372927754126427,6,13,7
126,1.60469751718197,1.6372927754126427,6,13,7
127,1.60469751718197,1.6372927754126427,6,13,7
128,1.60469751718197,1.6372927754126427,6,13,7
129,1.60469751718197,1.6372927754126427,6,13,7
130,1.60469751718197,1.6372927754126427,6,13,7
131,1.60469751718197,1.6372927754126427,6,13,7
132,1.60469751718197,1.6372927754126427,6,13,7
133,1.60469751718197,1.6372927754126427,6,13,7
134,1.60469751718197,1.6372927754126427,6,13,7
135,1.60469751718197,1.6372927754126427,6,13,7
