No_gen, Best, MQ, No_clus, max_clus, min_clus
45,1.8454983244353365,1.9173629002576371,6,5,2
46,1.8454983244353365,1.9173629002576371,6,5,2
47,1.8454983244353365,1.9173629002576371,6,5,2
48,1.8454983244353365,1.9173629002576371,6,5,2
49,1.8454983244353365,1.9173629002576371,6,5,2
50,1.8454983244353365,1.9173629002576371,6,5,2
51,1.8454983244353365,1.9173629002576371,6,5,2
52,1.8454983244353365,1.9173629002576371,6,5,2
53,1.84783742318811,1.9198343079922027,6,5,2
54,1.84783742318811,1.9198343079922027,6,5,2
55,1.8720525140409061,1.9454191033138402,6,5,2
56,1.9182214409587388,1.9941995333602547,6,5,2
57,1.9182214409587388,1.9941995333602547,6,5,2
58,1.9182214409587388,1.9941995333602547,6,5,2
59,1.9182214409587388,1.9941995333602547,6,5,2
60,1.9182214409587388,1.9941995333602547,6,5,2
61,1.9182214409587388,1.9941995333602547,6,5,2
62,1.9182214409587388,1.9941995333602547,6,5,2
63,1.9182214409587388,1.9941995333602547,6,5,2
64,1.9182214409587388,1.9941995333602547,6,5,2
65,1.9182214409587388,1.9941995333602547,6,5,2
66,1.9182214409587388,1.9941995333602547,6,5,2
67,1.9182214409587388,1.9941995333602547,6,5,2
68,1.9182214409587388,1.9941995333602547,6,5,2
69,1.9182214409587388,1.9941995333602547,6,5,2
70,1.9182214409587388,1.9941995333602547,6,5,2
71,1.9182214409587388,1.9941995333602547,6,5,2
72,1.9182214409587388,1.9941995333602547,6,5,2
73,1.9182214409587388,1.9941995333602547,6,5,2
74,1.9182214409587388,1.9941995333602547,6,5,2
75,1.9182214409587388,1.9941995333602547,6,5,2
76,1.9182214409587388,1.9941995333602547,6,5,2
77,1.9182214409587388,1.9941995333602547,6,5,2
78,1.9182214409587388,1.9941995333602547,6,5,2
79,1.9182214409587388,1.9941995333602547,6,5,2
80,1.9182214409587388,1.9941995333602547,6,5,2
81,1.9182214409587388,1.9941995333602547,6,5,2
82,1.9225222821087415,1.998743647656691,5,5,3
83,1.9225222821087415,1.998743647656691,5,5,3
84,1.9225222821087415,1.998743647656691,5,5,3
85,1.9225222821087415,1.998743647656691,5,5,3
86,1.9225222821087415,1.998743647656691,5,5,3
87,1.9225222821087415,1.998743647656691,5,5,3
88,1.9225222821087415,1.998743647656691,5,5,3
89,1.9225222821087415,1.998743647656691,5,5,3
90,1.9225222821087415,1.998743647656691,5,5,3
91,1.9225222821087415,1.998743647656691,5,5,3
92,1.9225222821087415,1.998743647656691,5,5,3
93,1.9225222821087415,1.998743647656691,5,5,3
94,1.9225222821087415,1.998743647656691,5,5,3
95,1.9225222821087415,1.998743647656691,5,5,3
96,1.9225222821087415,1.998743647656691,5,5,3
97,1.9225222821087415,1.998743647656691,5,5,3
98,1.9225222821087415,1.998743647656691,5,5,3
99,1.9225222821087415,1.998743647656691,5,5,3
100,1.9225222821087415,1.998743647656691,5,5,3
101,1.9225222821087415,1.998743647656691,5,5,3
102,1.9225222821087415,1.998743647656691,5,5,3
103,1.9225222821087415,1.998743647656691,5,5,3
104,1.9225222821087415,1.998743647656691,5,5,3
105,1.9225222821087415,1.998743647656691,5,5,3
106,1.9225222821087415,1.998743647656691,5,5,3
107,1.9225222821087415,1.998743647656691,5,5,3
108,1.9225222821087415,1.998743647656691,5,5,3
109,1.9225222821087415,1.998743647656691,5,5,3
110,1.9225222821087415,1.998743647656691,5,5,3
111,1.9225222821087415,1.998743647656691,5,5,3
112,1.9225222821087415,1.998743647656691,5,5,3
113,1.9225222821087415,1.998743647656691,5,5,3
114,1.9225222821087415,1.998743647656691,5,5,3
115,1.9225222821087415,1.998743647656691,5,5,3
116,1.9225222821087415,1.998743647656691,5,5,3
117,1.9225222821087415,1.998743647656691,5,5,3
118,1.9225222821087415,1.998743647656691,5,5,3
119,1.9225222821087415,1.998743647656691,5,5,3
120,1.9225222821087415,1.998743647656691,5,5,3
121,1.9225222821087415,1.998743647656691,5,5,3
122,1.9225222821087415,1.998743647656691,5,5,3
123,1.9225222821087415,1.998743647656691,5,5,3
124,1.9225222821087415,1.998743647656691,5,5,3
125,1.9225222821087415,1.998743647656691,5,5,3
126,1.9225222821087415,1.998743647656691,5,5,3
127,1.9225222821087415,1.998743647656691,5,5,3
128,1.9225222821087415,1.998743647656691,5,5,3
129,1.9225222821087415,1.998743647656691,5,5,3
130,1.9225222821087415,1.998743647656691,5,5,3
131,1.9225222821087415,1.998743647656691,5,5,3
132,1.9225222821087415,1.998743647656691,5,5,3
133,1.9225222821087415,1.998743647656691,5,5,3
134,1.936294946131507,2.0132953498244923,6,5,2
135,1.936294946131507,2.0132953498244923,6,5,2
136,1.936294946131507,2.0132953498244923,6,5,2
137,1.936294946131507,2.0132953498244923,6,5,2
138,1.936294946131507,2.0132953498244923,6,5,2
139,1.936294946131507,2.0132953498244923,6,5,2
140,1.936294946131507,2.0132953498244923,6,5,2
141,1.936294946131507,2.0132953498244923,6,5,2
142,1.936294946131507,2.0132953498244923,6,5,2
143,1.936294946131507,2.0132953498244923,6,5,2
144,1.936294946131507,2.0132953498244923,6,5,2
145,1.936294946131507,2.0132953498244923,6,5,2
146,1.936294946131507,2.0132953498244923,6,5,2
147,1.936294946131507,2.0132953498244923,6,5,2
148,1.936294946131507,2.0132953498244923,6,5,2
149,1.936294946131507,2.0132953498244923,6,5,2
150,1.936294946131507,2.0132953498244923,6,5,2
151,1.936294946131507,2.0132953498244923,6,5,2
152,1.936294946131507,2.0132953498244923,6,5,2
153,1.936294946131507,2.0132953498244923,6,5,2
154,1.936294946131507,2.0132953498244923,6,5,2
155,1.936294946131507,2.0132953498244923,6,5,2
156,1.936294946131507,2.0132953498244923,6,5,2
157,1.936294946131507,2.0132953498244923,6,5,2
158,1.936294946131507,2.0132953498244923,6,5,2
159,1.936294946131507,2.0132953498244923,6,5,2
160,1.936294946131507,2.0132953498244923,6,5,2
161,1.9702672636881398,2.049189280455265,6,5,2
162,1.9702672636881398,2.049189280455265,6,5,2
163,1.9702672636881398,2.049189280455265,6,5,2
164,1.9702672636881398,2.049189280455265,6,5,2
165,1.9702672636881398,2.049189280455265,6,5,2
166,1.9702672636881398,2.049189280455265,6,5,2
167,1.9702672636881398,2.049189280455265,6,5,2
168,1.9702672636881398,2.049189280455265,6,5,2
169,1.9702672636881398,2.049189280455265,6,5,2
170,1.9702672636881398,2.049189280455265,6,5,2
171,1.9702672636881398,2.049189280455265,6,5,2
172,1.9702672636881398,2.049189280455265,6,5,2
173,1.9702672636881398,2.049189280455265,6,5,2
174,1.9702672636881398,2.049189280455265,6,5,2
175,1.9702672636881398,2.049189280455265,6,5,2
176,1.9702672636881398,2.049189280455265,6,5,2
177,1.9702672636881398,2.049189280455265,6,5,2
178,1.9702672636881398,2.049189280455265,6,5,2
179,1.9702672636881398,2.049189280455265,6,5,2
180,1.9702672636881398,2.049189280455265,6,5,2
181,1.9702672636881398,2.049189280455265,6,5,2
182,1.9702672636881398,2.049189280455265,6,5,2
183,1.9702672636881398,2.049189280455265,6,5,2
184,1.9702672636881398,2.049189280455265,6,5,2
185,1.9702672636881398,2.049189280455265,6,5,2
186,1.9702672636881398,2.049189280455265,6,5,2
187,1.9702672636881398,2.049189280455265,6,5,2
188,1.9702672636881398,2.049189280455265,6,5,2
189,1.9702672636881398,2.049189280455265,6,5,2
190,1.9702672636881398,2.049189280455265,6,5,2
191,1.9702672636881398,2.049189280455265,6,5,2
192,1.9702672636881398,2.049189280455265,6,5,2
193,1.9702672636881398,2.049189280455265,6,5,2
194,1.9702672636881398,2.049189280455265,6,5,2
195,1.9702672636881398,2.049189280455265,6,5,2
196,1.9702672636881398,2.049189280455265,6,5,2
197,1.9702672636881398,2.049189280455265,6,5,2
198,1.9702672636881398,2.049189280455265,6,5,2
199,1.9702672636881398,2.049189280455265,6,5,2
200,1.9702672636881398,2.049189280455265,6,5,2
201,1.9702672636881398,2.049189280455265,6,5,2
202,1.9702672636881398,2.049189280455265,6,5,2
203,1.9702672636881398,2.049189280455265,6,5,2
204,1.9702672636881398,2.049189280455265,6,5,2
205,1.9702672636881398,2.049189280455265,6,5,2
206,1.9702672636881398,2.049189280455265,6,5,2
207,1.9702672636881398,2.049189280455265,6,5,2
208,1.9702672636881398,2.049189280455265,6,5,2
209,1.9702672636881398,2.049189280455265,6,5,2
210,1.9702672636881398,2.049189280455265,6,5,2
211,1.9702672636881398,2.049189280455265,6,5,2
212,1.9702672636881398,2.049189280455265,6,5,2
213,1.9702672636881398,2.049189280455265,6,5,2
214,1.9702672636881398,2.049189280455265,6,5,2
215,1.9702672636881398,2.049189280455265,6,5,2
216,1.9702672636881398,2.049189280455265,6,5,2
217,1.9702672636881398,2.049189280455265,6,5,2
218,1.9702672636881398,2.049189280455265,6,5,2
219,1.9702672636881398,2.049189280455265,6,5,2
220,1.9702672636881398,2.049189280455265,6,5,2
221,1.9702672636881398,2.049189280455265,6,5,2
222,1.9702672636881398,2.049189280455265,6,5,2
223,1.9702672636881398,2.049189280455265,6,5,2
224,1.9702672636881398,2.049189280455265,6,5,2
225,1.9702672636881398,2.049189280455265,6,5,2
226,1.9702672636881398,2.049189280455265,6,5,2
227,1.9702672636881398,2.049189280455265,6,5,2
228,1.9702672636881398,2.049189280455265,6,5,2
229,1.9702672636881398,2.049189280455265,6,5,2
230,1.9702672636881398,2.049189280455265,6,5,2
231,1.9702672636881398,2.049189280455265,6,5,2
232,1.9702672636881398,2.049189280455265,6,5,2
233,1.9702672636881398,2.049189280455265,6,5,2
234,1.9702672636881398,2.049189280455265,6,5,2
235,1.9702672636881398,2.049189280455265,6,5,2
236,1.9702672636881398,2.049189280455265,6,5,2
237,1.9702672636881398,2.049189280455265,6,5,2
238,1.9702672636881398,2.049189280455265,6,5,2
239,1.9702672636881398,2.049189280455265,6,5,2
240,1.9702672636881398,2.049189280455265,6,5,2
241,1.9702672636881398,2.049189280455265,6,5,2
242,1.9702672636881398,2.049189280455265,6,5,2
243,1.9702672636881398,2.049189280455265,6,5,2
244,1.9702672636881398,2.049189280455265,6,5,2
245,1.9702672636881398,2.049189280455265,6,5,2
246,1.9702672636881398,2.049189280455265,6,5,2
247,1.9702672636881398,2.049189280455265,6,5,2
248,1.9702672636881398,2.049189280455265,6,5,2
249,1.9702672636881398,2.049189280455265,6,5,2
250,1.9702672636881398,2.049189280455265,6,5,2
251,1.9702672636881398,2.049189280455265,6,5,2
252,1.9702672636881398,2.049189280455265,6,5,2
253,1.9702672636881398,2.049189280455265,6,5,2
254,1.9702672636881398,2.049189280455265,6,5,2
